日期,天气状况,最低气温/最高气温,风力风向(夜间/白天)
2021-09-01,小雨/多云,20℃/24℃,北风3-4级/北风3-4级
2021-09-02,多云/晴,20℃/27℃,北风3-4级/北风3-4级
2021-09-03,晴/多云,23℃/27℃,东南风3-4级/东南风3-4级
2021-09-04,小雨/大雨,22℃/25℃,东南风4-5级/东南风4-5级
2021-09-05,中雨/小雨,21℃/25℃,东北风5-6级/东北风5-6级
2021-09-06,小雨/多云,21℃/25℃,北风4-5级/北风4-5级
2021-09-07,晴/晴,19℃/26℃,北风3-4级/北风3-4级
2021-09-08,晴/晴,21℃/25℃,南风3-4级/南风3-4级
2021-09-09,多云/多云,22℃/26℃,南风3-4级/南风3-4级
2021-09-10,多云/多云,23℃/27℃,东南风3-4级/东南风3-4级
2021-09-11,多云/多云,22℃/27℃,东南风3-4级/东南风3-4级
2021-09-12,晴/晴,22℃/26℃,东南风3-4级/东南风3-4级
2021-09-13,晴/晴,21℃/27℃,东北风3-4级/东北风3-4级
2021-09-14,晴/晴,21℃/29℃,东北风3-4级/东北风3-4级
2021-09-15,晴/多云,19℃/28℃,东北风3-4级/东北风3-4级
2021-09-16,多云/多云,20℃/27℃,北风3-4级/北风3-4级
2021-09-17,多云/多云,20℃/27℃,北风3-4级/北风3-4级
2021-09-18,多云/阴,23℃/25℃,东南风3-4级/东南风3-4级
2021-09-19,小雨/中雨,22℃/24℃,东南风3-4级/东南风3-4级
2021-09-20,小雨/晴,21℃/24℃,西南风3-4级/西南风3-4级
2021-09-21,多云/多云,20℃/26℃,西南风3-4级/西南风3-4级
2021-09-22,晴/晴,20℃/27℃,北风3-4级/北风3-4级
2021-09-23,多云/多云,23℃/26℃,东南风3-4级/东南风3-4级
2021-09-24,多云/阴,22℃/25℃,东南风3-4级/东南风3-4级
2021-09-25,小雨/小雨,21℃/24℃,东南风3-4级/东南风3-4级
2021-09-26,中雨/中雨,22℃/24℃,东南风3-4级/东南风3-4级
2021-09-27,小雨/小雨,22℃/26℃,南风3-4级/南风3-4级
2021-09-28,阴/小雨,20℃/24℃,北风3-4级/北风3-4级
2021-09-29,晴/晴,18℃/25℃,北风3-4级/北风3-4级
2021-09-30,晴/多云,20℃/25℃,南风3-4级/南风3-4级
